year,mt,dt,day,city_code,city_do_nm,city_gn_gu_nm,dscamt,dscamt_rate,dis_co,dis_co_rate
2020,1,1,4,W1T,대전광역시,동구,3044600,3.24,1598,3.15
2020,1,2,5,W1T,대전광역시,동구,2903800,3.09,1564,3.09
2020,1,3,6,W1T,대전광역시,동구,2590750,2.76,1461,2.88
2020,1,4,7,W1T,대전광역시,동구,2717650,2.9,1514,2.99
2020,1,5,1,W1T,대전광역시,동구,3595750,3.83,1825,3.6
2020,1,6,2,W1T,대전광역시,동구,2540899,2.71,1473,2.91
2020,1,7,3,W1T,대전광역시,동구,2214349,2.36,1273,2.51
2020,1,8,4,W1T,대전광역시,동구,3078550,3.28,1663,3.28
2020,1,9,5,W1T,대전광역시,동구,2643050,2.82,1512,2.98
2020,1,10,6,W1T,대전광역시,동구,2391900,2.55,1443,2.85
2020,1,11,7,W1T,대전광역시,동구,2763550,2.94,1484,2.93
2020,1,12,1,W1T,대전광역시,동구,3596300,3.83,1848,3.65
2020,1,13,2,W1T,대전광역시,동구,2858100,3.04,1607,3.17
2020,1,14,3,W1T,대전광역시,동구,2605150,2.78,1485,2.93
2020,1,15,4,W1T,대전광역시,동구,2438000,2.6,1457,2.88
2020,1,16,5,W1T,대전광역시,동구,2561700,2.73,1460,2.88
2020,1,17,6,W1T,대전광역시,동구,2455250,2.62,1442,2.85
2020,1,18,7,W1T,대전광역시,동구,2735300,2.91,1482,2.93
2020,1,19,1,W1T,대전광역시,동구,3538600,3.77,1817,3.59
2020,1,20,2,W1T,대전광역시,동구,3082850,3.28,1707,3.37
2020,1,21,3,W1T,대전광역시,동구,2679050,2.85,1522,3.0
2020,1,22,4,W1T,대전광역시,동구,3050800,3.25,1660,3.28
2020,1,23,5,W1T,대전광역시,동구,4019050,4.28,2152,4.25
2020,1,24,6,W1T,대전광역시,동구,5214049,5.55,2587,5.11
2020,1,25,7,W1T,대전광역시,동구,2959000,3.15,1427,2.82
2020,1,26,1,W1T,대전광역시,동구,3689600,3.93,1728,3.41
2020,1,27,2,W1T,대전광역시,동구,3385699,3.61,1684,3.32
2020,1,28,3,W1T,대전광역시,동구,3700400,3.94,1890,3.73
2020,1,29,4,W1T,대전광역시,동구,3180800,3.39,1684,3.32
2020,1,30,5,W1T,대전광역시,동구,3002000,3.2,1693,3.34
2020,1,31,6,W1T,대전광역시,동구,2629500,2.8,1522,3.0
2020,1,1,4,W1U,대전광역시,중구,3208200,3.44,1845,3.31
